,title,year,length,director
458,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,Gore Verbinski
459,Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,Gore Verbinski
460,The Battle of Algiers,1966,2h 1m,Gillo Pontecorvo
461,The Battle of Algiers,1966,2h 1m,Gillo Pontecorvo
462,Hachi: A Dog's Tale,2009,1h 33m,Lasse Hallström
463,Hachi: A Dog's Tale,2009,1h 33m,Lasse Hallström
464,The Grapes of Wrath,1940,2h 9m,John Ford
465,The Grapes of Wrath,1940,2h 9m,John Ford
466,Jai Bhim,2021,2h 44m,T.J. Gnanavel
467,Jai Bhim,2021,2h 44m,T.J. Gnanavel
468,My Father and My Son,2005,1h 52m,Çagan Irmak
469,My Father and My Son,2005,1h 52m,Çagan Irmak
470,Amores Perros,2000,2h 34m,Alejandro G. Iñárritu
471,Amores Perros,2000,2h 34m,Alejandro G. Iñárritu
472,Rebecca,1940,2h 10m,Alfred Hitchcock
473,Rebecca,1940,2h 10m,Alfred Hitchcock
474,Cool Hand Luke,1967,2h 7m,Stuart Rosenberg
475,Cool Hand Luke,1967,2h 7m,Stuart Rosenberg
476,The Handmaiden,2016,2h 25m,Park Chan-wook
477,The Handmaiden,2016,2h 25m,Park Chan-wook
478,The 400 Blows,1959,1h 39m,François Truffaut
479,The 400 Blows,1959,1h 39m,François Truffaut
480,The Sound of Music,1965,2h 52m,Robert Wise
481,The Sound of Music,1965,2h 52m,Robert Wise
482,It Happened One Night,1934,1h 45m,Frank Capra
483,It Happened One Night,1934,1h 45m,Frank Capra
484,Persona,1966,1h 23m,Ingmar Bergman
485,Persona,1966,1h 23m,Ingmar Bergman
486,Life of Brian,1979,1h 34m,Terry Jones
487,Life of Brian,1979,1h 34m,Terry Jones
488,The Iron Giant,1999,1h 26m,Brad Bird
489,The Iron Giant,1999,1h 26m,Brad Bird
490,The Help,2011,2h 26m,Tate Taylor
491,The Help,2011,2h 26m,Tate Taylor
492,Dersu Uzala,1975,2h 22m,Akira Kurosawa
493,Dersu Uzala,1975,2h 22m,Akira Kurosawa
494,Aladdin,1992,1h 30m,Ron Clements
495,Aladdin,1992,1h 30m,Ron Clements
496,Dances with Wolves,1990,3h 1m,Kevin Costner
497,Dances with Wolves,1990,3h 1m,Kevin Costner
498,Gandhi,1982,3h 11m,Richard Attenborough
499,Gandhi,1982,3h 11m,Richard Attenborough
